iter	Passed	Remaining
612	3140	1982
613	3144	1976
614	3148	1971
615	3153	1965
616	3157	1960
617	3162	1954
618	3166	1948
619	3170	1943
620	3174	1937
621	3179	1932
622	3184	1927
623	3189	1921
624	3193	1916
625	3197	1910
626	3201	1904
627	3206	1899
628	3210	1893
629	3215	1888
630	3220	1883
631	3226	1878
632	3230	1873
633	3235	1867
634	3239	1862
635	3244	1856
636	3249	1851
637	3253	1845
638	3257	1840
639	3262	1835
640	3266	1829
641	3272	1824
642	3276	1818
643	3280	1813
644	3284	1807
645	3288	1802
646	3293	1796
647	3297	1791
648	3302	1785
649	3306	1780
650	3311	1775
651	3315	1769
652	3320	1764
653	3324	1758
654	3328	1753
655	3332	1747
656	3338	1742
657	3342	1737
658	3347	1732
659	3351	1726
660	3356	1721
661	3360	1715
662	3364	1710
663	3368	1704
664	3373	1699
665	3377	1694
666	3382	1688
667	3387	1683
668	3391	1678
669	3396	1672
670	3400	1667
671	3404	1661
672	3409	1656
673	3413	1651
674	3418	1645
675	3422	1640
676	3428	1635
677	3432	1630
678	3437	1625
679	3442	1620
680	3447	1614
681	3451	1609
682	3456	1604
683	3461	1599
684	3465	1593
685	3470	1588
686	3474	1582
687	3478	1577
688	3482	1572
689	3487	1566
690	3491	1561
691	3496	1556
692	3500	1550
693	3505	1545
694	3510	1540
695	3514	1535
696	3518	1529
697	3522	1524
698	3528	1519
699	3532	1514
700	3537	1508
701	3541	1503
702	3545	1498
703	3549	1492
704	3554	1487
705	3558	1481
706	3562	1476
707	3567	1471
708	3572	1466
709	3577	1461
710	3581	1455
711	3585	1450
712	3589	1444
713	3593	1439
714	3598	1434
715	3602	1428
716	3606	1423
717	3611	1418
718	3616	1413
719	3622	1408
720	3627	1403
721	3631	1398
722	3636	1393
723	3641	1388
724	3646	1383
725	3650	1377
726	3655	1372
727	3659	1367
728	3664	1362
729	3668	1357
730	3673	1351
731	3677	1346
732	3681	1341
733	3686	1336
734	3691	1330
735	3695	1325
736	3700	1320
737	3704	1315
738	3708	1309
739	3713	1304
740	3717	1299
741	3721	1294
742	3726	1288
743	3731	1283
744	3735	1278
745	3740	1273
746	3745	1268
747	3749	1263
748	3753	1257
749	3757	1252
750	3761	1247
751	3766	1241
752	3770	1236
753	3775	1231
754	3780	1226
755	3784	1221
756	3789	1216
757	3793	1211
758	3797	1205
759	3801	1200
760	3806	1195
761	3810	1190
762	3815	1185
763	3820	1180
764	3825	1175
765	3831	1170
766	3837	1165
767	3841	1160
768	3846	1155
769	3851	1150
770	3855	1145
771	3860	1140
772	3865	1135
773	3869	1129
774	3874	1124
775	3878	1119
776	3882	1114
777	3887	1109
778	3891	1104
779	3895	1098
780	3900	1093
781	3905	1088
782	3910	1083
783	3914	1078
784	3918	1073
785	3923	1068
786	3927	1062
787	3931	1057
788	3936	1052
789	3941	1047
790	3946	1042
791	3950	1037
792	3954	1032
793	3958	1027
794	3962	1021
795	3967	1016
796	3971	1011
797	3975	1006
798	3979	1001
799	3984	996
800	3990	991
801	3994	986
802	3998	980
803	4002	975
804	4007	970
805	4012	965
806	4017	960
807	4021	955
808	4026	950
809	4031	945
810	4036	940
811	4040	935
812	4045	930
813	4050	925
814	4054	920
815	4059	915
816	4063	910
817	4068	905
818	4072	900
819	4077	895
820	4081	889
821	4085	884
822	4090	879
823	4095	874
824	4099	869
825	4104	864
826	4108	859
827	4112	854
828	4117	849
829	4122	844
830	4126	839
831	4130	834
832	4134	828
833	4139	823
834	4144	819
835	4149	814
836	4153	808
837	4158	803
838	4162	798
839	4167	793
840	4171	788
841	4176	783
842	4180	778
843	4185	773
844	4189	768
845	4193	763
846	4197	758
847	4202	753
848	4206	748
849	4210	743
850	4216	738
851	4220	733
852	4225	728
853	4230	723
854	4235	718
855	4240	713
856	4245	708
857	4249	703
858	4254	698
859	4259	693
860	4264	688
861	4268	683
862	4272	678
863	4276	673
864	4281	668
865	4286	663
866	4291	658
867	4295	653
868	4300	648
869	4304	643
870	4309	638
871	4313	633
872	4317	628
873	4322	623
874	4327	618
875	4331	613
876	4336	608
877	4340	603
878	4345	598
879	4349	593
880	4354	588
881	4358	583
882	4362	578
883	4367	573
884	4371	568
885	4375	563
886	4380	557
887	4384	552
888	4388	547
889	4392	542
890	4397	537
891	4402	532
892	4406	528
893	4411	523
894	4416	518
895	4420	513
896	4424	508
897	4429	503
898	4434	498
899	4440	493
900	4445	488
901	4449	483
902	4453	478
903	4462	473
904	4468	469
905	4473	464
906	4478	459
907	4483	454
908	4487	449
909	4492	444
910	4496	439
911	4501	434
912	4506	429
913	4511	424
914	4517	419
915	4523	414
916	4529	409
917	4534	405
918	4540	400
919	4545	395
920	4551	390
921	4556	385
922	4561	380
923	4567	375
924	4573	370
925	4579	365
926	4585	361
927	4591	356
928	4597	351
929	4603	346
930	4609	341
931	4614	336
932	4620	331
933	4625	326
934	4631	321
935	4637	317
936	4643	312
937	4649	307
938	4654	302
939	4661	297
940	4666	292
941	4672	287
942	4677	282
943	4683	277
944	4690	272
945	4696	268
946	4702	263
947	4708	258
948	4714	253
949	4721	248
950	4727	243
951	4733	238
952	4739	233
953	4745	228
954	4751	223
955	4756	218
956	4762	214
957	4768	209
958	4775	204
959	4781	199
960	4787	194
961	4793	189
962	4799	184
963	4805	179
964	4811	174
965	4817	169
966	4823	164
967	4829	159
968	4836	154
969	4842	149
970	4848	144
971	4854	139
972	4860	134
973	4865	129
974	4872	124
975	4878	119
976	4883	114
977	4889	109
978	4895	105
979	4900	100
980	4906	95
981	4913	90
982	4919	85
983	4926	80
984	4931	75
985	4937	70
986	4944	65
987	4950	60
988	4956	55
989	4961	50
990	4967	45
991	4972	40
992	4977	35
993	4983	30
994	4989	25
995	4996	20
996	5001	15
997	5007	10
998	5012	5
999	5018	0
